step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
80,4.0000,0.0482,0.8820,-0.1010,0.7000,0.1320,-0.1010,-1.0000,-0.0181,C-06;C-01
81,4.0500,0.0581,0.8810,-0.1013,0.8000,0.1310,-0.1013,-1.0000,-0.0166,C-06;C-01
82,4.1000,0.0681,0.8800,-0.1016,0.8000,0.1300,-0.1016,-1.0000,-0.0150,C-06;C-01
83,4.1500,0.0780,0.8790,-0.1019,0.8000,0.1290,-0.1019,-1.0000,-0.0135,C-06;C-01
84,4.2000,0.0880,0.8780,-0.1022,0.8000,0.1280,-0.1022,-1.0000,-0.0120,C-06;C-01
85,4.2500,0.0979,0.8770,-0.1024,0.8000,0.1270,-0.1024,-1.0000,-0.0104,C-06;C-01
86,4.3000,0.1079,0.8759,-0.1026,0.8000,0.1259,-0.1026,-1.0000,-0.0089,C-06;C-01
87,4.3500,0.1178,0.8749,-0.1028,0.8000,0.1249,-0.1028,-1.0000,-0.0074,C-06;C-01
88,4.4000,0.1278,0.8739,-0.1029,0.8000,0.1239,-0.1029,-1.0000,-0.0058,C-06;C-01
89,4.4500,0.1377,0.8729,-0.1031,0.8000,0.1229,-0.1031,-1.0000,-0.0043,C-06;C-01
90,4.5000,0.1477,0.8718,-0.1031,0.8000,0.1218,-0.1031,-1.0000,-0.0027,C-06;C-01
91,4.5500,0.1576,0.8708,-0.1032,0.9000,0.1208,-0.1032,-1.0000,-0.0012,C-06;C-01
92,4.6000,0.1676,0.8698,-0.1032,0.9000,0.1198,-0.1032,-1.0000,-0.0000,C-06;C-01
93,4.6500,0.1775,0.8687,-0.1032,0.9000,0.1187,-0.1032,-1.0000,-0.1500,C-06
94,4.7000,0.1875,0.8677,-0.1061,0.9000,0.1177,-0.1061,-1.0000,-0.3000,C-06
95,4.7500,0.1974,0.8666,-0.1120,0.9000,0.1166,-0.1120,-1.0000,-0.4500,C-06
96,4.8000,0.2073,0.8654,-0.1208,0.9000,0.1154,-0.1208,-1.0000,-0.6000,C-06
97,4.8500,0.2172,0.8642,-0.1327,0.9000,0.1142,-0.1327,-1.0000,-0.7500,C-06
98,4.9000,0.2271,0.8628,-0.1476,0.9000,0.1128,-0.1476,-0.9289,-0.9000,C-06
99,4.9500,0.2370,0.8612,-0.1657,0.9000,0.1112,-0.1657,-0.8478,-0.8478,
100,5.0000,0.2469,0.8595,-0.1827,0.9000,0.1095,-0.1827,-0.8001,-0.8001,
101,5.0500,0.2567,0.8576,-0.1986,1.0000,0.1076,-0.1986,-0.7517,-0.7517,
102,5.1000,0.2665,0.8556,-0.2136,1.0000,0.1056,-0.2136,-0.7037,-0.7037,
103,5.1500,0.2762,0.8534,-0.2276,1.0000,0.1034,-0.2276,-0.6560,-0.6560,
104,5.2000,0.2860,0.8510,-0.2406,1.0000,0.1010,-0.2406,-0.6087,-0.6087,
105,5.2500,0.2957,0.8486,-0.2526,1.0000,0.0986,-0.2526,-0.5618,-0.5618,
106,5.3000,0.3053,0.8461,-0.2636,1.0000,0.0961,-0.2636,-0.5155,-0.5155,
107,5.3500,0.3150,0.8434,-0.2738,1.0000,0.0934,-0.2738,-0.4697,-0.4697,
108,5.4000,0.3246,0.8406,-0.2830,1.0000,0.0906,-0.2830,-0.4247,-0.4247,
109,5.4500,0.3342,0.8378,-0.2913,1.0000,0.0878,-0.2913,-0.3803,-0.3803,
110,5.5000,0.3437,0.8349,-0.2988,1.0000,0.0849,-0.2988,-0.3368,-0.3368,
111,5.5500,0.3533,0.8319,-0.3053,1.1000,0.0819,-0.3053,-0.2941,-0.2941,
112,5.6000,0.3628,0.8289,-0.3111,1.1000,0.0789,-0.3111,-0.2523,-0.2523,
113,5.6500,0.3723,0.8258,-0.3160,1.1000,0.0758,-0.3160,-0.2114,-0.2114,
114,5.7000,0.3818,0.8227,-0.3201,1.1000,0.0727,-0.3201,-0.1715,-0.1715,
115,5.7500,0.3913,0.8195,-0.3234,1.1000,0.0695,-0.3234,-0.1327,-0.1327,
116,5.8000,0.4008,0.8163,-0.3260,1.1000,0.0663,-0.3260,-0.0949,-0.0949,
117,5.8500,0.4103,0.8131,-0.3279,1.1000,0.0631,-0.3279,-0.0582,-0.0582,
118,5.9000,0.4197,0.8099,-0.3290,1.1000,0.0599,-0.3290,-0.0227,-0.0227,
119,5.9500,0.4292,0.8067,-0.3294,1.1000,0.0567,-0.3294,0.0117,0.0117,
120,6.0000,0.4387,0.8034,-0.3292,1.1000,0.0534,-0.3292,0.0449,0.0449,
121,6.0500,0.4481,0.8002,-0.3283,1.1000,0.0502,-0.3283,0.0768,0.0768,
122,6.1000,0.4576,0.7970,-0.3269,1.2000,0.0470,-0.3269,0.1076,0.1076,
123,6.1500,0.4671,0.7938,-0.3248,1.2000,0.0438,-0.3248,0.1370,0.1370,
124,6.2000,0.4765,0.7906,-0.3221,1.2000,0.0406,-0.3221,0.1652,0.1652,
125,6.2500,0.4860,0.7875,-0.3189,1.2000,0.0375,-0.3189,0.1921,0.1921,
126,6.3000,0.4955,0.7843,-0.3151,1.2000,0.0343,-0.3151,0.2177,0.2177,
127,6.3500,0.5051,0.7813,-0.3109,1.2000,0.0313,-0.3109,0.2420,0.2420,
128,6.4000,0.5146,0.7782,-0.3062,1.2000,0.0282,-0.3062,0.2650,0.2650,
