timestamp,action,reason,resets_issued
1788187330.325170,withheld,still moving (0.160 m/s),5
1788187330.417311,withheld,still moving (0.119 m/s),5
1788187330.521082,withheld,still moving (0.120 m/s),5
1788187330.634868,withheld,still moving (0.106 m/s),5
1788187330.724246,withheld,still moving (0.097 m/s),5
1788187330.826316,withheld,still moving (0.086 m/s),5
1788187330.923637,withheld,still moving (0.080 m/s),5
1788187331.123845,withheld,still moving (0.059 m/s),5
1788187331.236730,withheld,still moving (0.055 m/s),5
1788187331.331291,withheld,still moving (0.046 m/s),5
1788187331.442109,withheld,still moving (0.042 m/s),5
1788187331.530821,withheld,still moving (0.038 m/s),5
1788187331.619965,withheld,still moving (0.033 m/s),5
1788187331.729920,withheld,still moving (0.030 m/s),5
1788187331.826776,withheld,still moving (0.022 m/s),5
1788187331.927402,withheld,healthy for 0.00 s of 1.00,5
1788187332.025594,withheld,healthy for 0.10 s of 1.00,5
1788187332.128506,withheld,healthy for 0.20 s of 1.00,5
1788187332.217144,withheld,healthy for 0.29 s of 1.00,5
1788187332.315469,withheld,healthy for 0.39 s of 1.00,5
1788187332.431348,withheld,healthy for 0.50 s of 1.00,5
1788187332.516519,withheld,healthy for 0.59 s of 1.00,5
1788187332.623656,withheld,healthy for 0.70 s of 1.00,5
1788187332.727326,withheld,healthy for 0.80 s of 1.00,5
1788187332.831534,withheld,healthy for 0.90 s of 1.00,5
1788187332.942334,reset,"healthy for 1.01 s, reset 6/30",6
1788187336.422861,withheld,perception still invalid,6
1788187336.624366,withheld,still moving (0.186 m/s),6
1788187336.720291,withheld,still moving (0.185 m/s),6
1788187336.831311,withheld,still moving (0.186 m/s),6
1788187336.931706,withheld,still moving (0.157 m/s),6
1788187337.234157,withheld,perception still invalid,6
1788187338.626230,withheld,healthy for 0.00 s of 1.00,6
1788187338.718054,withheld,healthy for 0.09 s of 1.00,6
1788187338.853796,withheld,perception still invalid,6
1788187339.121064,withheld,healthy for 0.00 s of 1.00,6
1788187339.325264,withheld,perception still invalid,6
1788187339.426235,withheld,healthy for 0.00 s of 1.00,6
1788187339.533378,withheld,healthy for 0.11 s of 1.00,6
1788187339.630677,withheld,still moving (0.021 m/s),6
1788187340.037877,withheld,still moving (0.022 m/s),6
1788187340.231256,withheld,perception still invalid,6
1788187340.316276,withheld,still moving (0.022 m/s),6
1788187340.520282,withheld,perception still invalid,6
1788187340.737225,withheld,still moving (0.023 m/s),6
1788187340.835584,withheld,still moving (0.021 m/s),6
1788187341.152157,withheld,healthy for 0.00 s of 1.00,6
1788187341.224515,withheld,healthy for 0.07 s of 1.00,6
1788187341.315533,withheld,healthy for 0.16 s of 1.00,6
1788187341.428577,withheld,perception still invalid,6
1788187341.525098,withheld,healthy for 0.00 s of 1.00,6
1788187341.633664,withheld,healthy for 0.11 s of 1.00,6
1788187341.729996,withheld,healthy for 0.20 s of 1.00,6
1788187341.828325,withheld,healthy for 0.30 s of 1.00,6
1788187341.924840,withheld,perception still invalid,6
1788187342.038401,withheld,healthy for 0.00 s of 1.00,6
1788187342.122501,withheld,healthy for 0.08 s of 1.00,6
1788187342.244086,withheld,perception still invalid,6
1788187342.632000,withheld,healthy for 0.00 s of 1.00,6
1788187342.734229,withheld,healthy for 0.10 s of 1.00,6
1788187342.832076,withheld,healthy for 0.20 s of 1.00,6
1788187342.931824,withheld,healthy for 0.30 s of 1.00,6
1788187343.034024,withheld,healthy for 0.40 s of 1.00,6
1788187343.142680,withheld,healthy for 0.51 s of 1.00,6
1788187343.319977,withheld,perception still invalid,6
1788187344.021606,withheld,healthy for 0.00 s of 1.00,6
1788187344.136539,withheld,healthy for 0.11 s of 1.00,6
1788187344.238833,withheld,healthy for 0.22 s of 1.00,6
1788187344.324845,withheld,healthy for 0.30 s of 1.00,6
1788187344.421750,withheld,healthy for 0.40 s of 1.00,6
1788187344.526605,withheld,healthy for 0.50 s of 1.00,6
1788187344.631397,withheld,perception still invalid,6
1788187344.738849,withheld,healthy for 0.00 s of 1.00,6
1788187344.819734,withheld,healthy for 0.08 s of 1.00,6
1788187344.926961,withheld,perception still invalid,6
1788187345.545669,withheld,healthy for 0.00 s of 1.00,6
1788187345.634415,withheld,healthy for 0.09 s of 1.00,6
1788187345.727237,withheld,healthy for 0.18 s of 1.00,6
1788187345.823939,withheld,healthy for 0.28 s of 1.00,6
1788187345.929289,withheld,perception still invalid,6
1788187346.130759,withheld,healthy for 0.00 s of 1.00,6
1788187346.234054,withheld,healthy for 0.10 s of 1.00,6
1788187346.336193,withheld,perception still invalid,6
1788187346.420942,withheld,healthy for 0.00 s of 1.00,6
1788187346.529570,withheld,healthy for 0.11 s of 1.00,6
1788187346.625283,withheld,healthy for 0.20 s of 1.00,6
1788187346.730049,withheld,healthy for 0.31 s of 1.00,6
1788187346.820532,withheld,healthy for 0.40 s of 1.00,6
1788187346.922944,withheld,healthy for 0.50 s of 1.00,6
1788187347.020472,withheld,healthy for 0.60 s of 1.00,6
1788187347.118691,withheld,healthy for 0.70 s of 1.00,6
1788187347.220748,withheld,healthy for 0.80 s of 1.00,6
1788187347.329090,withheld,healthy for 0.91 s of 1.00,6
1788187347.413237,withheld,healthy for 0.99 s of 1.00,6
1788187347.524916,reset,"healthy for 1.10 s, reset 7/30",7
1788187347.731963,withheld,perception still invalid,7
1788187347.826768,withheld,healthy for 0.00 s of 1.00,7
1788187347.936255,withheld,healthy for 0.11 s of 1.00,7
1788187348.029209,withheld,healthy for 0.20 s of 1.00,7
1788187348.131122,withheld,still moving (0.023 m/s),7
1788187348.225565,withheld,still moving (0.021 m/s),7
1788187348.329670,withheld,healthy for 0.00 s of 1.00,7
1788187348.420416,withheld,healthy for 0.09 s of 1.00,7
1788187348.522255,withheld,healthy for 0.19 s of 1.00,7
1788187348.620808,withheld,healthy for 0.29 s of 1.00,7
1788187348.723033,withheld,healthy for 0.39 s of 1.00,7
1788187348.831898,withheld,healthy for 0.50 s of 1.00,7
1788187348.935454,withheld,healthy for 0.61 s of 1.00,7
1788187349.045423,withheld,healthy for 0.72 s of 1.00,7
1788187349.257621,withheld,healthy for 0.93 s of 1.00,7
1788187349.345007,withheld,rate limited (1.82 s since last reset),7
1788187349.414038,withheld,rate limited (1.89 s since last reset),7
1788187349.520515,withheld,rate limited (2.00 s since last reset),7
1788187349.631063,withheld,rate limited (2.11 s since last reset),7
1788187349.734812,withheld,rate limited (2.21 s since last reset),7
1788187349.831716,withheld,rate limited (2.31 s since last reset),7
1788187349.923501,withheld,rate limited (2.40 s since last reset),7
