step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
86,4.3000,0.0000,0.9100,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
87,4.3500,0.0000,0.9200,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
88,4.4000,0.0000,0.9300,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
89,4.4500,0.0000,0.9400,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
90,4.5000,0.0000,0.9500,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
91,4.5500,0.0000,0.9600,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
92,4.6000,0.0000,0.9700,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
93,4.6500,0.0000,0.9800,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
94,4.7000,0.0000,0.9900,1.5708,0.9000,-0.0000,0.0000,0.0000,0.0000,
95,4.7500,0.0000,1.0000,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
96,4.8000,0.0000,1.0100,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
97,4.8500,0.0000,1.0200,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
98,4.9000,0.0000,1.0300,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
99,4.9500,0.0000,1.0400,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
100,5.0000,0.0000,1.0500,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
101,5.0500,0.0000,1.0600,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
102,5.1000,0.0000,1.0700,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
103,5.1500,0.0000,1.0800,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
104,5.2000,0.0000,1.0900,1.5708,1.0000,-0.0000,0.0000,0.0000,0.0000,
105,5.2500,0.0000,1.1000,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
106,5.3000,0.0000,1.1100,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
107,5.3500,0.0000,1.1200,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
108,5.4000,0.0000,1.1300,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
109,5.4500,0.0000,1.1400,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
110,5.5000,0.0000,1.1500,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
111,5.5500,0.0000,1.1600,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
112,5.6000,0.0000,1.1700,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
113,5.6500,0.0000,1.1800,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
114,5.7000,0.0000,1.1900,1.5708,1.1000,-0.0000,0.0000,0.0000,0.0000,
115,5.7500,0.0000,1.2000,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
116,5.8000,0.0000,1.2100,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
117,5.8500,0.0000,1.2200,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
118,5.9000,0.0000,1.2300,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
119,5.9500,0.0000,1.2400,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
