stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1787058782.718,bad_width,0.08177,0.15976,0.17143,5,0.438,ok
1787058782.919,bad_width,0.07159,0.06246,0.18987,4,0.729,ok
1787058783.119,bad_width,0.07215,0.04316,0.19395,4,0.688,ok
1787058783.319,bad_width,0.08813,0.18830,0.15552,4,0.438,ok
1787058783.569,bad_width,-0.12017,-0.06253,0.15126,4,0.583,ok
1787058783.719,bad_width,0.07100,0.06881,0.18996,4,0.688,ok
1787058783.969,bad_width,0.06805,0.06693,0.18555,4,0.646,ok
1787058784.218,bad_width,0.08243,0.06345,0.16957,4,0.729,ok
1787058784.418,bad_width,0.07101,0.18830,0.18875,4,0.438,ok
1787058784.619,bad_width,0.09081,0.14704,0.15529,4,0.417,ok
1787058785.019,bad_width,0.07092,0.06427,0.19026,4,0.646,ok
1787058785.270,bad_width,0.08941,0.19049,0.15211,4,0.479,ok
1787058785.469,bad_width,0.08774,0.18542,0.15565,4,0.438,ok
1787058785.870,bad_width,0.08025,0.18542,0.17046,4,0.438,ok
1787058786.069,bad_width,0.07037,0.06616,0.19081,4,0.667,ok
1787058786.269,bad_width,0.06775,0.18858,0.19461,4,0.438,ok
1787058786.519,bad_width,0.07152,0.06117,0.19188,4,0.667,ok
1787058786.718,bad_width,0.04964,-0.06079,0.16834,4,0.542,ok
1787058786.918,bad_width,0.07180,0.06464,0.18933,4,0.688,ok
1787058787.119,bad_width,0.08846,0.18910,0.15444,4,0.438,ok
1787058787.319,bad_width,0.07217,0.04272,0.19437,4,0.646,ok
1787058787.568,bad_width,0.07096,0.06449,0.19049,4,0.667,ok
1787058787.769,bad_width,0.07284,0.06510,0.18884,4,0.667,ok
1787058787.968,bad_width,0.07203,0.06589,0.18732,4,0.667,ok
1787058788.170,bad_width,0.07131,0.06372,0.19132,4,0.688,ok
1787058788.369,bad_width,0.08375,0.06405,0.16607,4,0.750,ok
1787058788.569,bad_width,0.09093,0.19250,0.14576,4,0.438,ok
1787058788.818,bad_width,-0.10847,-0.06220,0.16837,4,0.583,ok
1787058789.018,bad_width,0.07190,0.04266,0.19263,4,0.646,ok
1787058789.219,bad_width,0.08487,0.18830,0.16152,4,0.417,ok
1787058789.418,bad_width,-0.11119,-0.06108,0.16773,4,0.604,ok
1787058789.619,bad_width,0.07131,0.06112,0.19110,4,0.667,ok
1787058789.818,bad_width,0.08684,0.18561,0.15374,4,0.458,ok
1787058790.018,bad_width,0.07043,0.06427,0.19031,4,0.688,ok
1787058790.268,bad_width,0.07595,0.18968,0.17554,4,0.458,ok
1787058790.468,bad_width,0.07171,0.06033,0.19126,4,0.708,ok
1787058790.668,bad_width,0.08095,0.18272,0.16551,4,0.479,ok
1787058790.868,bad_width,0.06786,0.06311,0.18464,4,0.667,ok
1787058791.069,bad_width,-0.11047,-0.06402,0.17106,4,0.562,ok
1787058791.519,bad_width,0.08558,0.18185,0.15725,5,0.458,ok
1787058791.719,bad_width,0.08767,0.17676,0.15433,4,0.458,ok
1787058792.119,bad_width,0.06139,-0.06561,0.17252,4,0.521,ok
1787058792.320,bad_width,0.07121,0.05881,0.18806,4,0.708,ok
1787058792.569,bad_width,-0.11743,-0.06347,0.15609,4,0.583,ok
1787058792.769,bad_width,0.09396,0.17724,0.14354,4,0.500,ok
1787058792.969,bad_width,-0.11602,-0.06331,0.16020,4,0.583,ok
1787058793.170,bad_width,-0.11599,-0.06474,0.16171,4,0.583,ok
1787058793.370,bad_width,0.06981,0.06330,0.19117,4,0.688,ok
1787058793.619,bad_width,0.08161,0.19139,0.16425,4,0.458,ok
1787058793.818,bad_width,0.07102,0.06077,0.18964,4,0.688,ok
1787058794.019,bad_width,0.06828,0.05697,0.18559,4,0.667,ok
1787058794.219,bad_width,0.05672,-0.06361,0.18260,4,0.542,ok
1787058794.369,bad_width,0.07048,0.06283,0.18993,4,0.688,ok
1787058794.819,bad_width,-0.11603,-0.06561,0.16122,4,0.583,ok
1787058795.019,bad_width,0.07774,0.18234,0.17225,5,0.458,ok
1787058795.218,bad_width,0.08663,0.17676,0.15586,4,0.438,ok
1787058795.469,bad_width,0.06996,0.05714,0.19044,4,0.667,ok
1787058795.669,bad_width,0.07019,0.05927,0.18991,4,0.708,ok
1787058795.869,bad_width,0.06589,0.06007,0.20030,4,0.688,ok
1787058796.119,bad_width,0.06998,0.05778,0.19019,4,0.708,ok
1787058796.318,bad_width,0.07078,0.05726,0.18886,4,0.708,ok
1787058796.519,bad_width,0.08744,0.18461,0.15308,4,0.458,ok
1787058796.919,bad_width,0.07525,0.18234,0.17760,4,0.458,ok
1787058797.169,bad_width,0.08186,0.18234,0.16473,4,0.479,ok
1787058797.369,bad_width,0.09210,0.18461,0.14446,4,0.500,ok
1787058797.569,bad_width,0.08488,0.17385,0.16036,4,0.438,ok
1787058797.769,bad_width,0.07027,0.06220,0.19073,4,0.708,ok
1787058797.969,bad_width,0.07023,0.05895,0.19009,4,0.688,ok
1787058798.169,bad_width,0.07007,0.06049,0.19006,4,0.708,ok
1787058798.420,bad_width,0.09261,0.17246,0.14586,4,0.479,ok
1787058798.818,bad_width,0.08602,0.18234,0.15650,4,0.500,ok
1787058799.018,bad_width,-0.13977,-0.06561,0.19035,4,0.625,ok
1787058799.269,bad_width,0.06967,0.05741,0.19131,4,0.708,ok
1787058799.669,bad_width,0.07972,0.18468,0.16654,4,0.458,ok
1787058799.869,bad_width,0.06980,0.06401,0.18955,4,0.688,ok
1787058800.068,bad_width,0.08270,0.18344,0.16242,4,0.458,ok
1787058800.318,bad_width,0.07023,0.06096,0.18940,4,0.688,ok
1787058800.518,bad_width,0.07055,0.06022,0.18958,4,0.708,ok
1787058800.669,bad_width,0.08359,0.18185,0.16010,4,0.479,ok
1787058800.918,bad_width,0.08673,0.18500,0.15485,4,0.500,ok
1787058801.119,bad_width,0.06983,0.06071,0.19044,4,0.708,ok
1787058801.319,bad_width,0.07839,0.18727,0.17060,5,0.458,ok
1787058801.769,bad_width,0.07275,0.06562,0.19022,4,0.708,ok
1787058801.969,bad_width,0.07151,0.06849,0.19132,4,0.708,ok
1787058802.169,bad_width,-0.13825,-0.06417,0.19553,4,0.646,ok
1787058802.369,bad_width,0.07616,0.06030,0.18322,4,0.771,ok
1787058802.569,bad_width,0.07817,0.19356,0.17782,4,0.521,ok
1787058802.668,bad_width,0.07377,0.06592,0.18882,4,0.688,ok
1787058803.018,bad_width,0.07582,0.06437,0.18887,4,0.646,ok
1787058803.218,bad_width,-0.11489,-0.13904,0.15978,4,0.292,ok
1787058803.418,bad_width,0.07832,0.04832,0.18939,4,0.646,ok
1787058803.619,bad_width,0.09822,0.05977,0.14654,4,0.875,ok
1787058803.818,bad_width,0.08360,-0.06600,0.19762,4,0.521,ok
1787058804.019,bad_width,0.10205,-0.09286,0.16315,4,0.375,ok
1787058804.218,bad_width,0.08319,-0.05776,0.19799,4,0.542,ok
1787058804.469,bad_width,0.09954,-0.10586,0.15670,4,0.333,ok
1787058804.620,bad_width,0.09914,-0.09374,0.16083,4,0.375,ok
1787058804.869,bad_width,0.08986,-0.07921,0.17498,4,0.333,ok
1787058805.069,bad_width,0.08153,-0.05683,0.19495,4,0.521,ok
1787058805.168,bad_width,0.08088,-0.05714,0.19411,4,0.542,ok
1787058805.520,bad_width,0.09030,-0.05060,0.17742,4,0.375,ok
