stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182979.470,unpaired,0.04539,0.03983,0.20110,4,0.229,single_line
1788182979.570,bad_width,0.06917,0.01193,0.15947,4,0.438,ok
1788182979.620,bad_width,0.04342,0.02769,0.20222,3,0.479,ok
1788182979.870,bad_width,-0.00509,0.05345,0.29259,3,0.521,ok
1788182980.320,bad_width,-0.01673,0.05554,0.29148,2,0.500,ok
1788182980.820,bad_width,-0.00029,0.08515,0.30210,3,0.521,ok
1788182981.270,bad_width,0.03349,0.09032,0.29183,3,0.604,ok
1788182981.470,bad_width,0.04223,0.08718,0.29798,3,0.583,ok
1788182982.170,bad_width,0.04055,0.04109,0.30453,3,0.521,ok
1788182982.270,bad_width,0.04464,0.02442,0.30068,3,0.542,ok
1788182982.370,bad_width,0.05237,-0.00708,0.29149,3,0.562,ok
1788182982.720,bad_width,0.05551,0.07224,0.29330,2,0.479,ok
1788182982.970,bad_width,0.04150,-0.01830,0.20140,2,0.479,ok
1788182983.520,unpaired,-0.06536,0.49067,0.24763,2,0.375,single_line
1788182983.822,bad_width,0.02262,-0.05680,0.33984,2,0.458,ok
1788182984.070,unpaired,0.07707,-0.22533,0.26462,2,0.146,single_line
1788182984.170,unpaired,0.07282,-0.21535,0.26462,2,0.125,single_line
1788182984.220,unpaired,0.07051,-0.20912,0.26462,2,0.125,single_line
1788182984.270,unpaired,0.07531,-0.22816,0.26462,2,0.146,single_line
1788182984.320,unpaired,0.06855,-0.20913,0.26462,2,0.146,single_line
1788182984.370,bad_width,-0.05317,-0.13606,0.32801,2,0.542,ok
1788182984.520,bad_width,-0.09864,0.25420,0.32362,3,0.333,ok
1788182984.571,bad_width,-0.09456,0.24564,0.31641,3,0.354,ok
1788182984.621,bad_width,0.03732,-0.19820,0.31245,2,0.375,ok
1788182984.670,bad_width,0.04477,-0.19820,0.30776,2,0.417,ok
1788182984.770,bad_width,0.02835,-0.16126,0.33928,2,0.438,ok
1788182984.821,unpaired,0.00708,0.14990,0.30626,2,0.292,single_line
1788182985.021,unpaired,-0.04124,-0.71922,0.29585,2,0.250,single_line
1788182985.070,unpaired,-0.02701,0.23397,0.29585,2,0.229,single_line
1788182985.120,unpaired,0.04665,-0.25100,0.29585,2,0.125,single_line
1788182985.220,unpaired,0.04250,-0.25242,0.29585,2,0.146,single_line
1788182985.270,unpaired,0.02330,-0.07039,0.29585,3,0.250,single_line
1788182985.320,bad_width,0.08305,-0.21035,0.20580,3,0.354,ok
1788182985.520,unpaired,0.04850,-0.26687,0.26541,2,0.146,single_line
1788182985.620,unpaired,-0.03405,-0.58723,0.25578,2,0.167,single_line
1788182985.670,unpaired,-0.02474,-0.60367,0.25578,2,0.146,single_line
1788182985.720,unpaired,-0.03457,-0.57745,0.25578,3,0.146,single_line
