timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1788187652.206729,monitoring,0.6.1,-0.18544231355190277,0.8002052903175354,-0.18544231355190277,0.8002052903175354,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2983365246462321,0.3574448370706818,0.0003388040774202333,-0.7123536901002797
1788187652.294487,monitoring,0.6.1,-0.1861594021320343,0.8018945455551147,-0.1861594021320343,0.8018945455551147,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2983365246462321,0.3574448370706818,0.0003388040774202333,-0.7123536901002797
1788187652.388394,monitoring,0.6.1,-0.1831221878528595,0.8020263612270355,-0.1831221878528595,0.8020263612270355,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2957164114979788,0.34525736097538995,0.00034237542068596573,-0.7085636424048223
1788187652.505202,monitoring,0.6.1,-0.17946045100688934,0.8013304769992828,-0.17946045100688934,0.8013304769992828,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2971569121722787,0.3574448370706818,0.00014291158216090787,-0.7140666146676997
1788187652.596208,monitoring,0.6.1,-0.1819590926170349,0.8012664914131165,-0.1819590926170349,0.8012664914131165,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2971569121722787,0.3574448370706818,0.00014291158216090787,-0.7140666146676997
1788187652.699361,monitoring,0.6.1,-0.1842128187417984,0.8014380633831024,-0.1842128187417984,0.8014380633831024,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29217149758950983,0.3574448370706818,0.000246626305481277,-0.7291670535510617
1788187652.799119,monitoring,0.6.1,-0.18306639790534973,0.801790863275528,-0.18306639790534973,0.801790863275528,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2936216827227366,0.3574448370706818,0.000251576327072912,-0.7260123982450752
1788187652.909401,monitoring,0.6.1,-0.1823749840259552,0.8013693392276764,-0.1823749840259552,0.8013693392276764,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2976190576702997,0.34525736097538995,6.480508329736936e-05,-0.7209598132718178
1788187653.010903,monitoring,0.6.1,-0.18371416628360748,0.8010857105255127,-0.18371416628360748,0.8010857105255127,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2976190576702997,0.34525736097538995,6.480508329736936e-05,-0.7209598132718178
1788187653.117228,monitoring,0.6.1,-0.184339240193367,0.800510436296463,-0.184339240193367,0.800510436296463,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2937858375487642,0.3329621005126291,0.00012188084820676747,-0.7262526006695822
1788187653.202219,monitoring,0.6.1,-0.18398137390613556,0.801020085811615,-0.18398137390613556,0.801020085811615,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2937858375487642,0.3329621005126291,0.00012188084820676747,-0.7262526006695822
1788187653.413290,monitoring,0.6.1,-0.1857784539461136,0.8023954033851624,-0.1857784539461136,0.8023954033851624,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29923758397800826,0.34525736097538995,3.95867400365515e-05,-0.6898200436548927
1788187653.619077,monitoring,0.6.1,-0.18340547382831573,0.8005333244800568,-0.18340547382831573,0.8005333244800568,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2985482439362038,0.34525736097538995,0.000363670852915759,-0.7084278095772979
1788187653.693652,monitoring,0.6.1,-0.18489019572734833,0.8009437918663025,-0.18489019572734833,0.8009437918663025,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2985482439362038,0.34525736097538995,0.000363670852915759,-0.7084278095772979
1788187653.808812,monitoring,0.6.1,-0.18266159296035767,0.800700843334198,-0.18266159296035767,0.800700843334198,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29382307747018066,0.34525736097538995,4.290397434189309e-05,-0.7340031026712331
1788187653.902523,monitoring,0.6.1,-0.18448948860168457,0.8005198538303375,-0.18448948860168457,0.8005198538303375,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29382307747018066,0.34525736097538995,4.290397434189309e-05,-0.7340031026712331
1788187654.099756,monitoring,0.6.1,-0.18338190019130707,0.8007311224937439,-0.18338190019130707,0.8007311224937439,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2958093746798415,0.34525736097538995,0.0001294769460768149,-0.7122083560110676
1788187654.205551,monitoring,0.6.1,-0.18498541414737701,0.8011424243450165,-0.18498541414737701,0.8011424243450165,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29761756307000975,0.34525736097538995,0.0001349748157683264,-0.7120315914701862
1788187654.405824,monitoring,0.6.1,-0.1823461651802063,0.801520973443985,-0.1823461651802063,0.801520973443985,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29146369580580733,0.3574448370706818,0.00020147536458472998,-0.7398140178932919
1788187654.497488,monitoring,0.6.1,-0.17980962991714478,0.8010439872741699,-0.17980962991714478,0.8010439872741699,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29146369580580733,0.3574448370706818,0.00020147536458472998,-0.7398140178932919
1788187654.800434,monitoring,0.6.1,-0.18271881341934204,0.8019044995307922,-0.18271881341934204,0.8019044995307922,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29685065730419136,0.3574448370706818,0.00016129431976197463,-0.7303178410496651
1788187655.179275,monitoring,0.6.1,-0.1824176162481308,0.8008179366588593,-0.1824176162481308,0.8008179366588593,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2960693464773013,0.3329621005126291,1.2948370253618267e-05,-0.7130566121008903
1788187655.292368,monitoring,0.6.1,-0.18352419137954712,0.8008801639080048,-0.18352419137954712,0.8008801639080048,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29909180351472947,0.34525736097538995,0.0003521673201282343,-0.7102570640629162
1788187655.408024,monitoring,0.6.1,-0.18429040908813477,0.8018549978733063,-0.18429040908813477,0.8018549978733063,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29789827158579807,0.3574448370706818,0.0003823575704896959,-0.7128457576045322
