timestamp,action,reason,resets_issued
1788168360.334692,withheld,healthy for 0.60 s of 1.00,4
1788168360.446034,withheld,healthy for 0.71 s of 1.00,4
1788168360.540985,withheld,healthy for 0.81 s of 1.00,4
1788168360.644484,withheld,cage rules active: C-02,4
1788168360.931078,withheld,healthy for 0.00 s of 1.00,4
1788168361.042474,withheld,healthy for 0.11 s of 1.00,4
1788168361.133258,withheld,healthy for 0.20 s of 1.00,4
1788168361.233691,withheld,healthy for 0.30 s of 1.00,4
1788168361.346610,withheld,healthy for 0.42 s of 1.00,4
1788168361.445589,withheld,healthy for 0.51 s of 1.00,4
1788168361.538968,withheld,healthy for 0.61 s of 1.00,4
1788168361.639551,withheld,healthy for 0.71 s of 1.00,4
1788168361.735884,withheld,healthy for 0.80 s of 1.00,4
1788168361.831781,withheld,healthy for 0.90 s of 1.00,4
1788168361.935390,withheld,rate limited (2.30 s since last reset),4
1788168362.048995,withheld,rate limited (2.41 s since last reset),4
1788168362.141654,withheld,rate limited (2.51 s since last reset),4
1788168362.255164,withheld,rate limited (2.62 s since last reset),4
1788168362.338448,withheld,rate limited (2.70 s since last reset),4
1788168362.435427,withheld,rate limited (2.80 s since last reset),4
1788168362.528902,withheld,rate limited (2.89 s since last reset),4
1788168362.637253,would_reset,"healthy for 1.71 s, reset 5/6",5
1788168362.732040,withheld,healthy for 0.00 s of 1.00,5
1788168362.843062,withheld,healthy for 0.11 s of 1.00,5
1788168363.054134,withheld,healthy for 0.32 s of 1.00,5
1788168363.134629,withheld,healthy for 0.40 s of 1.00,5
1788168363.236506,withheld,cage rules active: C-01,5
1788168363.417120,withheld,perception still invalid,5
1788168364.550337,withheld,cage rules active: C-01,5
1788168364.842402,withheld,healthy for 0.00 s of 1.00,5
1788168364.946715,withheld,healthy for 0.10 s of 1.00,5
1788168365.037925,withheld,healthy for 0.20 s of 1.00,5
1788168365.141917,withheld,healthy for 0.30 s of 1.00,5
1788168365.247225,withheld,healthy for 0.40 s of 1.00,5
1788168365.327763,withheld,healthy for 0.49 s of 1.00,5
1788168365.430534,withheld,healthy for 0.59 s of 1.00,5
1788168365.543143,withheld,healthy for 0.70 s of 1.00,5
1788168365.620465,withheld,healthy for 0.78 s of 1.00,5
1788168365.746084,withheld,healthy for 0.90 s of 1.00,5
1788168365.839748,withheld,healthy for 1.00 s of 1.00,5
1788168365.930053,would_reset,"healthy for 1.09 s, reset 6/6",6
1788168366.033235,withheld,healthy for 0.00 s of 1.00,6
1788168366.438233,withheld,cage rules active: C-02,6
1788168366.736851,withheld,healthy for 0.00 s of 1.00,6
1788168366.841028,withheld,cage rules active: C-02,6
1788168367.854574,withheld,healthy for 0.00 s of 1.00,6
1788168367.944581,withheld,healthy for 0.09 s of 1.00,6
1788168368.038508,withheld,healthy for 0.18 s of 1.00,6
1788168368.138183,withheld,healthy for 0.28 s of 1.00,6
1788168368.236952,withheld,cage rules active: C-02,6
1788168369.239523,withheld,healthy for 0.00 s of 1.00,6
1788168369.330178,withheld,healthy for 0.09 s of 1.00,6
1788168369.535744,withheld,healthy for 0.30 s of 1.00,6
1788168369.632599,withheld,healthy for 0.39 s of 1.00,6
1788168371.983224,withheld,budget spent (6/6 resets),6
1788168372.551400,withheld,cage rules active: C-01,6
1788168372.647197,withheld,perception still invalid,6
1788168372.845080,withheld,cage rules active: C-01,6
1788168373.036979,withheld,perception still invalid,6
1788168373.451798,withheld,cage rules active: C-01,6
1788168373.630237,withheld,healthy for 0.00 s of 1.00,6
1788168373.736316,withheld,healthy for 0.11 s of 1.00,6
1788168373.864063,withheld,healthy for 0.23 s of 1.00,6
1788168373.959190,withheld,healthy for 0.33 s of 1.00,6
1788168374.028493,withheld,healthy for 0.40 s of 1.00,6
1788168374.126530,withheld,healthy for 0.50 s of 1.00,6
1788168374.228757,withheld,healthy for 0.60 s of 1.00,6
1788168374.339061,withheld,healthy for 0.71 s of 1.00,6
1788168374.446052,withheld,healthy for 0.82 s of 1.00,6
1788168374.536041,withheld,healthy for 0.91 s of 1.00,6
1788168374.641844,withheld,budget spent (6/6 resets),6
1788168376.232878,withheld,cage rules active: C-02,6
1788168376.744008,withheld,healthy for 0.00 s of 1.00,6
1788168376.829244,withheld,healthy for 0.09 s of 1.00,6
1788168376.945400,withheld,healthy for 0.20 s of 1.00,6
1788168377.046934,withheld,cage rules active: C-01,6
1788168377.237355,withheld,perception still invalid,6
1788168377.343309,withheld,cage rules active: C-01,6
1788168377.528942,withheld,healthy for 0.00 s of 1.00,6
1788168377.639046,withheld,healthy for 0.11 s of 1.00,6
1788168377.743197,withheld,healthy for 0.21 s of 1.00,6
1788168377.830728,withheld,healthy for 0.30 s of 1.00,6
1788168377.934380,withheld,cage rules active: C-02,6
1788168378.136625,withheld,perception still invalid,6
1788168378.238558,withheld,cage rules active: C-02,6
1788168378.428407,withheld,healthy for 0.00 s of 1.00,6
1788168378.531497,withheld,healthy for 0.10 s of 1.00,6
1788168378.620920,withheld,healthy for 0.19 s of 1.00,6
1788168378.729897,withheld,healthy for 0.30 s of 1.00,6
1788168378.835387,withheld,healthy for 0.41 s of 1.00,6
1788168378.927797,withheld,cage rules active: C-02,6
1788168379.136655,withheld,healthy for 0.00 s of 1.00,6
1788168379.233311,withheld,healthy for 0.10 s of 1.00,6
1788168379.353880,withheld,healthy for 0.22 s of 1.00,6
1788168379.442821,withheld,healthy for 0.31 s of 1.00,6
1788168379.537163,withheld,cage rules active: C-02,6
1788168380.035597,withheld,healthy for 0.00 s of 1.00,6
1788168380.217815,withheld,healthy for 0.18 s of 1.00,6
1788168380.235650,withheld,healthy for 0.20 s of 1.00,6
1788168380.347421,withheld,healthy for 0.31 s of 1.00,6
1788168380.433515,withheld,healthy for 0.40 s of 1.00,6
1788168380.536695,withheld,healthy for 0.50 s of 1.00,6
1788168380.618096,withheld,healthy for 0.58 s of 1.00,6
1788168380.728634,withheld,healthy for 0.69 s of 1.00,6
1788168380.829488,withheld,healthy for 0.79 s of 1.00,6
1788168380.932393,withheld,healthy for 0.90 s of 1.00,6
1788168381.038555,withheld,budget spent (6/6 resets),6
1788168382.335179,withheld,cage rules active: C-02,6
1788168382.628331,withheld,healthy for 0.00 s of 1.00,6
1788168382.730170,withheld,healthy for 0.10 s of 1.00,6
1788168382.839323,withheld,healthy for 0.21 s of 1.00,6
1788168382.938355,withheld,healthy for 0.31 s of 1.00,6
1788168383.051279,withheld,healthy for 0.42 s of 1.00,6
1788168383.250480,withheld,healthy for 0.62 s of 1.00,6
1788168383.351824,withheld,cage rules active: C-02,6
1788168383.533354,withheld,healthy for 0.00 s of 1.00,6
1788168383.630179,withheld,healthy for 0.10 s of 1.00,6
1788168383.755012,withheld,healthy for 0.22 s of 1.00,6
1788168383.840221,withheld,healthy for 0.31 s of 1.00,6
1788168383.949283,withheld,healthy for 0.42 s of 1.00,6
1788168384.044894,withheld,healthy for 0.51 s of 1.00,6
1788168384.145498,withheld,healthy for 0.61 s of 1.00,6
1788168384.214907,withheld,healthy for 0.68 s of 1.00,6
1788168384.336817,withheld,healthy for 0.80 s of 1.00,6
1788168384.442335,withheld,healthy for 0.91 s of 1.00,6
1788168384.531320,withheld,healthy for 1.00 s of 1.00,6
1788168384.638172,withheld,budget spent (6/6 resets),6
1788168385.857923,withheld,cage rules active: C-02,6
1788168386.430306,withheld,healthy for 0.00 s of 1.00,6
1788168386.530742,withheld,healthy for 0.10 s of 1.00,6
1788168386.637264,withheld,healthy for 0.21 s of 1.00,6
1788168387.133563,withheld,healthy for 0.70 s of 1.00,6
1788168387.234102,withheld,healthy for 0.80 s of 1.00,6
1788168387.325931,withheld,healthy for 0.90 s of 1.00,6
1788168387.439808,withheld,budget spent (6/6 resets),6
