step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
114,5.7000,1.1382,-0.0071,-0.0011,9.1232,-0.0071,-0.0011,0.0377,0.0377,
115,5.7500,1.1482,-0.0071,-0.0004,9.1232,-0.0071,-0.0004,0.0365,0.0365,
116,5.8000,1.1582,-0.0071,0.0003,9.1232,-0.0071,0.0003,0.0353,0.0353,
117,5.8500,1.1682,-0.0071,0.0010,9.1232,-0.0071,0.0010,0.0341,0.0341,
118,5.9000,1.1782,-0.0071,0.0016,9.1232,-0.0071,0.0016,0.0329,0.0329,
119,5.9500,1.1882,-0.0071,0.0023,9.1232,-0.0071,0.0023,0.0317,0.0317,
120,6.0000,1.1982,-0.0071,0.0029,9.1232,-0.0071,0.0029,0.0305,0.0305,
121,6.0500,1.2082,-0.0070,0.0035,9.2232,-0.0070,0.0035,0.0294,0.0294,
122,6.1000,1.2182,-0.0070,0.0041,9.2232,-0.0070,0.0041,0.0282,0.0282,
123,6.1500,1.2282,-0.0070,0.0046,9.2232,-0.0070,0.0046,0.0270,0.0270,
124,6.2000,1.2382,-0.0069,0.0051,9.2232,-0.0069,0.0051,0.0259,0.0259,
125,6.2500,1.2482,-0.0069,0.0056,9.2232,-0.0069,0.0056,0.0248,0.0248,
126,6.3000,1.2582,-0.0068,0.0061,9.2232,-0.0068,0.0061,0.0237,0.0237,
127,6.3500,1.2682,-0.0067,0.0066,9.2232,-0.0067,0.0066,0.0226,0.0226,
128,6.4000,1.2782,-0.0067,0.0070,9.2232,-0.0067,0.0070,0.0215,0.0215,
129,6.4500,1.2882,-0.0066,0.0074,9.2232,-0.0066,0.0074,0.0204,0.0204,
130,6.5000,1.2982,-0.0065,0.0078,9.2232,-0.0065,0.0078,0.0193,0.0193,
131,6.5500,1.3082,-0.0064,0.0082,9.3232,-0.0064,-0.0043,0.0371,0.0371,
132,6.6000,1.3182,-0.0064,0.0089,9.3232,-0.0064,-0.0036,0.0355,0.0355,
133,6.6500,1.3282,-0.0063,0.0096,9.3232,-0.0063,-0.0029,0.0338,0.0338,
134,6.7000,1.3382,-0.0062,0.0103,9.3232,-0.0062,-0.0023,0.0322,0.0322,
135,6.7500,1.3482,-0.0061,0.0109,9.3232,-0.0061,-0.0016,0.0306,0.0306,
136,6.8000,1.3582,-0.0059,0.0115,9.3232,-0.0059,-0.0010,0.0291,0.0291,
137,6.8500,1.3682,-0.0058,0.0121,9.3232,-0.0058,-0.0005,0.0275,0.0275,
138,6.9000,1.3782,-0.0057,0.0126,9.3232,-0.0057,0.0001,0.0260,0.0260,
139,6.9500,1.3882,-0.0056,0.0131,9.3232,-0.0056,0.0006,0.0245,0.0245,
140,7.0000,1.3982,-0.0054,0.0136,9.3232,-0.0054,0.0010,0.0230,0.0230,
141,7.0500,1.4082,-0.0053,0.0140,9.4232,-0.0053,-0.0361,0.0779,0.0779,
142,7.1000,1.4181,-0.0052,0.0155,9.4232,-0.0052,-0.0346,0.0747,0.0747,
143,7.1500,1.4281,-0.0050,0.0170,9.4232,-0.0050,-0.0331,0.0714,0.0714,
144,7.2000,1.4381,-0.0048,0.0184,9.4232,-0.0048,-0.0317,0.0681,0.0681,
145,7.2500,1.4481,-0.0046,0.0197,9.4232,-0.0046,-0.0304,0.0649,0.0649,
146,7.3000,1.4581,-0.0044,0.0210,9.4232,-0.0044,-0.0291,0.0618,0.0618,
147,7.3500,1.4681,-0.0042,0.0222,9.4232,-0.0042,-0.0279,0.0586,0.0586,
148,7.4000,1.4781,-0.0040,0.0233,9.4232,-0.0040,-0.0268,0.0556,0.0556,
149,7.4500,1.4881,-0.0037,0.0244,9.4232,-0.0037,-0.0257,0.0525,0.0525,
150,7.5000,1.4981,-0.0035,0.0254,9.4232,-0.0035,-0.0247,0.0495,0.0495,
151,7.5500,1.5081,-0.0032,0.0264,9.5232,-0.0037,-0.0866,0.1534,0.1534,
152,7.6000,1.5181,-0.0030,0.0294,9.5232,-0.0041,-0.0836,0.1528,0.1528,
153,7.6500,1.5281,-0.0026,0.0323,9.5232,-0.0044,-0.0806,0.1493,0.1493,
154,7.7000,1.5381,-0.0023,0.0353,9.5232,-0.0047,-0.0777,0.1458,0.1458,
155,7.7500,1.5481,-0.0019,0.0381,9.5232,-0.0050,-0.0749,0.1423,0.1423,
156,7.8000,1.5581,-0.0015,0.0409,9.5232,-0.0052,-0.0721,0.1388,0.1388,
157,7.8500,1.5681,-0.0011,0.0436,9.5232,-0.0054,-0.0694,0.1352,0.1352,
158,7.9000,1.5781,-0.0007,0.0462,9.5232,-0.0056,-0.0668,0.1316,0.1316,
159,7.9500,1.5881,-0.0002,0.0488,9.5232,-0.0057,-0.0642,0.1280,0.1280,
160,8.0000,1.5981,0.0003,0.0512,9.5232,-0.0059,-0.0617,0.1244,0.1244,
161,8.0500,1.6080,0.0008,0.0537,9.6237,-0.0068,-0.1474,0.2748,0.2744,C-06
162,8.1000,1.6180,0.0014,0.0590,9.6237,-0.0081,-0.1420,0.2800,0.2800,
163,8.1500,1.6280,0.0020,0.0645,9.6237,-0.0094,-0.1365,0.2771,0.2771,
164,8.2000,1.6380,0.0027,0.0699,9.6237,-0.0106,-0.1311,0.2739,0.2739,
165,8.2500,1.6480,0.0034,0.0752,9.6237,-0.0118,-0.1258,0.2706,0.2706,
166,8.3000,1.6579,0.0042,0.0805,9.6237,-0.0129,-0.1205,0.2672,0.2672,
167,8.3500,1.6679,0.0050,0.0857,9.6237,-0.0139,-0.1153,0.2636,0.2636,
168,8.4000,1.6779,0.0059,0.0909,9.6237,-0.0149,-0.1102,0.2598,0.2598,
169,8.4500,1.6878,0.0068,0.0959,9.6237,-0.0159,-0.1051,0.2559,0.2559,
170,8.5000,1.6978,0.0078,0.1009,9.6237,-0.0168,-0.1001,0.2519,0.2519,
171,8.5500,1.7077,0.0088,0.1058,9.7242,-0.0182,-0.2084,0.4315,0.4019,C-06
172,8.6000,1.7177,0.0099,0.1137,9.7242,-0.0202,-0.2006,0.4426,0.4426,
173,8.6500,1.7276,0.0111,0.1224,9.7242,-0.0222,-0.1919,0.4377,0.4377,
174,8.7000,1.7375,0.0124,0.1309,9.7242,-0.0240,-0.1833,0.4325,0.4325,
175,8.7500,1.7474,0.0137,0.1394,9.7242,-0.0258,-0.1748,0.4270,0.4270,
176,8.8000,1.7573,0.0151,0.1478,9.7242,-0.0275,-0.1665,0.4214,0.4214,
177,8.8500,1.7672,0.0167,0.1560,9.7242,-0.0291,-0.1582,0.4155,0.4155,
178,8.9000,1.7771,0.0183,0.1642,9.7242,-0.0307,-0.1501,0.4093,0.4093,
179,8.9500,1.7869,0.0199,0.1722,9.7242,-0.0321,-0.1421,0.4030,0.4030,
180,9.0000,1.7968,0.0217,0.1801,9.7242,-0.0335,-0.1342,0.3965,0.3965,
181,9.0500,1.8066,0.0235,0.1878,9.7242,-0.0348,-0.1264,0.3899,0.3899,
182,9.1000,1.8164,0.0254,0.1955,9.8246,-0.0372,-0.2444,0.5997,0.5399,C-06
183,9.1500,1.8262,0.0274,0.2061,9.8246,-0.0396,-0.2338,0.5959,0.5959,
184,9.2000,1.8360,0.0295,0.2178,9.8246,-0.0418,-0.2220,0.5874,0.5874,
185,9.2500,1.8457,0.0317,0.2294,9.8246,-0.0440,-0.2105,0.5785,0.5785,
186,9.3000,1.8555,0.0341,0.2408,9.8246,-0.0460,-0.1990,0.5693,0.5693,
187,9.3500,1.8652,0.0365,0.2520,9.8246,-0.0479,-0.1878,0.5599,0.5599,
188,9.4000,1.8748,0.0390,0.2631,9.8246,-0.0497,-0.1768,0.5502,0.5502,
189,9.4500,1.8845,0.0417,0.2739,9.8246,-0.0514,-0.1660,0.5403,0.5403,
190,9.5000,1.8941,0.0445,0.2845,9.8246,-0.0530,-0.1553,0.5303,0.5303,
191,9.5500,1.9037,0.0473,0.2950,9.8246,-0.0545,-0.1449,0.5200,0.5200,
192,9.6000,1.9132,0.0503,0.3052,9.8246,-0.0559,-0.1347,0.5096,0.5096,
193,9.6500,1.9227,0.0533,0.3152,9.9251,-0.0586,-0.2504,0.7213,0.6596,C-06
194,9.7000,1.9322,0.0565,0.3283,9.9251,-0.0610,-0.2374,0.7092,0.7092,
195,9.7500,1.9417,0.0598,0.3424,9.9251,-0.0633,-0.2233,0.6969,0.6969,
196,9.8000,1.9511,0.0632,0.3562,9.9251,-0.0654,-0.2095,0.6841,0.6841,
197,9.8500,1.9604,0.0667,0.3697,9.9251,-0.0674,-0.1959,0.6712,0.6712,
198,9.9000,1.9697,0.0704,0.3830,9.9251,-0.0693,-0.1826,0.6580,0.6580,
199,9.9500,1.9790,0.0742,0.3961,9.9251,-0.0711,-0.1696,0.6446,0.6446,
200,10.0000,1.9882,0.0781,0.4088,9.9251,-0.0727,-0.1568,0.6310,0.6310,
201,10.0500,1.9973,0.0822,0.4213,9.9251,-0.0742,-0.1443,0.6173,0.6173,
202,10.1000,2.0064,0.0863,0.4335,9.9251,-0.0755,-0.1322,0.6035,0.6035,
203,10.1500,2.0155,0.0906,0.4454,9.9251,-0.0768,-0.1202,0.5895,0.5895,
204,10.2000,2.0245,0.0949,0.4570,10.0255,-0.0792,-0.2340,0.7945,0.7395,C-06
205,10.2500,2.0334,0.0994,0.4717,10.0255,-0.0814,-0.2193,0.7810,0.7810,
206,10.3000,2.0423,0.1040,0.4873,10.0255,-0.0835,-0.2037,0.7652,0.7652,
207,10.3500,2.0511,0.1088,0.5026,10.0255,-0.0855,-0.1885,0.7490,0.7490,
208,10.4000,2.0598,0.1137,0.5175,10.0255,-0.0873,-0.1735,0.7327,0.7327,
209,10.4500,2.0685,0.1187,0.5320,10.0255,-0.0889,-0.1590,0.7162,0.7162,
210,10.5000,2.0771,0.1238,0.5463,10.0255,-0.0904,-0.1448,0.6996,0.6996,
211,10.5500,2.0856,0.1291,0.5601,10.0255,-0.0918,-0.1309,0.6828,0.6828,
212,10.6000,2.0940,0.1344,0.5737,10.0255,-0.0931,-0.1173,0.6660,0.6660,
213,10.6500,2.1024,0.1399,0.5869,10.0255,-0.0942,-0.1041,0.6491,0.6491,
214,10.7000,2.1107,0.1455,0.5997,10.0255,-0.0951,-0.0913,0.6321,0.6321,
215,10.7500,2.1189,0.1512,0.6122,10.1259,-0.0969,-0.2045,0.8258,0.7821,C-06
216,10.8000,2.1270,0.1570,0.6278,10.1259,-0.0988,-0.1889,0.8166,0.8166,
217,10.8500,2.1351,0.1629,0.6441,10.1259,-0.1006,-0.1726,0.7980,0.7980,
218,10.9000,2.1430,0.1690,0.6601,10.1259,-0.1023,-0.1566,0.7791,0.7791,
219,10.9500,2.1509,0.1752,0.6756,10.1259,-0.1038,-0.1411,0.7601,0.7601,
220,11.0000,2.1586,0.1815,0.6907,10.1259,-0.1051,-0.1259,0.7411,0.7411,
221,11.0500,2.1663,0.1879,0.7055,10.1259,-0.1063,-0.1112,0.7219,0.7219,
222,11.1000,2.1738,0.1945,0.7198,10.1259,-0.1073,-0.0969,0.7027,0.7027,
223,11.1500,2.1813,0.2011,0.7338,10.1259,-0.1082,-0.0829,0.6835,0.6835,
224,11.2000,2.1887,0.2079,0.7473,10.1259,-0.1090,-0.0694,0.6643,0.6643,
225,11.2500,2.1960,0.2147,0.7605,10.1259,-0.1096,-0.0562,0.6450,0.6450,
226,11.3000,2.2032,0.2217,0.7732,10.1259,-0.1101,-0.0435,0.6258,0.6258,
227,11.3500,2.2103,0.2287,0.7856,10.2265,-0.1121,-0.1569,0.8345,0.7758,C-06
228,11.4000,2.2173,0.2358,0.8011,10.2265,-0.1135,-0.1415,0.8094,0.8094,
229,11.4500,2.2242,0.2430,0.8172,10.2265,-0.1149,-0.1253,0.7886,0.7886,
