timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06,mirror_rate
856000,380.896152,369.850,0.753898,0.048928,-3.492673,0.424615,0.493924,0.042981,0.263672,0.009766,0.000000,0.014648,0.005859,0.000000,0.006836,0.255859,0.609375
857024,380.896152,369.850,0.693525,0.227592,-3.492000,0.203381,0.235937,0.042985,0.163086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163086,1.000000
858048,401.063487,390.320,0.423283,0.013212,-3.489740,0.486152,0.554458,0.043038,0.130859,0.000000,0.000000,0.001953,0.000000,0.000000,0.000000,0.129883,0.657227
859072,411.442687,400.110,0.569435,0.017803,-3.489215,0.542234,0.343006,0.043047,0.059570,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.058594,0.000000
860096,411.442687,400.110,0.440109,0.084794,-3.482303,0.158899,0.485625,0.043241,0.065430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065430,0.000000
861120,427.142744,414.230,0.849638,0.005369,-3.481361,0.170296,0.549902,0.043008,0.095703,0.006836,0.000000,0.004883,0.000977,0.000000,0.004883,0.092773,0.028320
862144,427.142744,414.230,0.811257,0.088227,-3.492291,0.145433,0.198864,0.042982,0.073242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073242,0.000000
863168,448.685612,434.750,0.836470,0.005632,-3.495231,0.211327,0.552344,0.042676,0.090820,0.000977,0.000000,0.000977,0.000977,0.000000,0.000977,0.090820,0.005859
864192,448.685612,434.750,0.877010,0.013075,-3.507643,0.324533,0.473307,0.042712,0.121094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121094,0.000000
865216,448.132258,433.960,0.472179,0.007542,-3.503192,0.847134,0.517548,0.042738,0.179688,0.000977,0.000000,0.003906,0.007812,0.000000,0.000977,0.178711,0.343750
866240,448.132258,433.960,0.798371,0.042268,-3.504284,0.187292,0.277083,0.042735,0.185547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185547,1.000000
867264,442.822698,429.480,0.757542,0.009137,-3.502195,0.484662,0.576923,0.042797,0.111328,0.000977,0.000000,0.005859,0.004883,0.000000,0.000977,0.110352,0.244141
868288,451.358762,437.900,0.786653,0.055016,-3.498726,0.371856,0.347656,0.042872,0.138672,0.000977,0.000000,0.000000,0.000000,0.000000,0.000977,0.137695,0.000000
869312,451.358762,437.900,0.747713,0.054463,-3.496176,0.362738,0.454327,0.042883,0.141602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.141602,0.000000
870336,472.994206,458.120,0.616281,0.009607,-3.495880,0.282445,0.499512,0.042898,0.120117,0.000000,0.000000,0.003906,0.000000,0.000000,0.000000,0.118164,0.892578
871360,472.994206,458.120,0.746437,0.008279,-3.496852,0.395922,0.526533,0.042670,0.100586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100586,1.000000
872384,494.624949,479.320,0.835823,0.002962,-3.511293,0.220739,0.569043,0.042317,0.142578,0.002930,0.008789,0.002930,0.019531,0.000000,0.001953,0.133789,0.743164
873408,507.004638,491.120,0.808814,0.086227,-3.523540,0.362386,0.453299,0.042275,0.129883,0.000977,0.000000,0.000000,0.007812,0.000000,0.000977,0.129883,0.000000
874432,507.004638,491.120,0.732880,0.066272,-3.523509,0.505835,0.488176,0.042361,0.166992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166992,0.000000
875456,528.421238,511.560,0.383976,0.011659,-3.517843,0.425123,0.584717,0.042413,0.157227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157227,0.000000
876480,528.271813,511.660,0.526899,0.008306,-3.518039,0.362101,0.514323,0.042368,0.187500,0.004883,0.004883,0.003906,0.011719,0.000000,0.003906,0.179688,0.041016
877504,528.271813,511.660,0.790336,0.168644,-3.517998,0.519830,0.536911,0.042357,0.156250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156250,0.000000
878528,549.136112,532.130,0.661977,0.009506,-3.519677,0.755350,0.521307,0.042390,0.127930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127930,0.000000
879552,553.114770,536.590,0.664421,0.008880,-3.515996,0.413676,0.571925,0.042446,0.067383,0.000977,0.012695,0.004883,0.013672,0.000000,0.000000,0.054688,0.000977
880576,566.819328,550.270,0.864528,0.049115,-3.515488,0.174125,0.470996,0.042198,0.120117,0.001953,0.000000,0.002930,0.000000,0.000000,0.000977,0.117188,0.418945
881600,554.971671,538.720,0.454238,0.080088,-3.530779,0.270303,0.542383,0.041839,0.157227,0.002930,0.000000,0.010742,0.001953,0.000000,0.002930,0.152344,0.954102
882624,536.999946,521.280,0.796955,0.095980,-3.542996,0.647533,0.514123,0.041899,0.123047,0.003906,0.000000,0.005859,0.008789,0.000000,0.002930,0.117188,0.999023
