iso,uptime_s,load1,mem_used_mb,mem_avail_mb,swap_used_mb,train_rss_mb,gz_rss_mb,n_gz,gpu_mem_mb,gpu_util,gpu_temp,disk_avail_gb,timestep
2026-08-21T19:46:41+02:00,202943,0.96,9657,21535,0,2108,1916,1,1230,3,54,352,953280
2026-08-21T19:47:41+02:00,203003,0.92,9687,21506,0,2117,1916,1,1230,3,54,352,954304
2026-08-21T19:48:42+02:00,203064,1.66,9708,21484,0,2117,1916,1,1230,2,55,352,954304
2026-08-21T19:49:42+02:00,203124,1.28,9665,21528,0,2118,1916,1,1230,3,55,352,955328
2026-08-21T19:50:42+02:00,203184,0.47,9678,21514,0,2118,1916,1,1230,3,55,352,955328
2026-08-21T19:51:42+02:00,203244,0.84,9650,21543,0,2068,1916,1,1230,3,55,352,956352
2026-08-21T19:52:42+02:00,203304,1.23,9619,21574,0,2068,1916,1,1230,3,55,352,956352
2026-08-21T19:53:42+02:00,203364,3.27,9632,21560,0,2068,1916,1,1230,3,54,352,957376
2026-08-21T19:54:42+02:00,203424,2.05,9620,21572,0,2080,1916,1,1230,3,54,352,957376
2026-08-21T19:55:42+02:00,203484,1.56,9656,21536,0,2090,1916,1,1230,3,55,352,958400
2026-08-21T19:56:42+02:00,203544,1.07,9649,21543,0,2090,1916,1,1230,3,55,352,958400
2026-08-21T19:57:42+02:00,203604,0.55,9656,21536,0,2090,1916,1,1230,3,55,352,959424
2026-08-21T19:58:42+02:00,203664,0.90,9642,21550,0,2090,1916,1,1230,3,55,352,959424
2026-08-21T19:59:42+02:00,203724,1.47,9656,21537,0,2093,1916,1,1230,3,55,352,960448
2026-08-21T20:00:42+02:00,203784,1.10,9660,21532,0,2093,1916,1,1230,3,55,352,960448
2026-08-21T20:01:42+02:00,203844,0.95,9660,21532,0,2093,1916,1,1230,3,55,352,961472
2026-08-21T20:02:42+02:00,203904,0.93,9677,21516,0,2093,1916,1,1230,2,55,352,961472
