timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1786995622.921360,monitoring,0.6.1,0.14476700127124786,0.7142240107059479,0.14476700127124786,0.7142240107059479,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.020339786836481036,0.7153391621856782,3.683003768974131e-05,0.0
1786995628.378443,monitoring,0.6.1,0.15896077454090118,0.7137227356433868,0.15896077454090118,0.7137227356433868,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995628.672302,monitoring,0.6.1,0.1546536684036255,0.7145380824804306,0.1546536684036255,0.7145380824804306,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995628.773734,monitoring,0.6.1,0.15293793380260468,0.7114081680774689,0.15293793380260468,0.7114081680774689,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995628.871962,monitoring,0.6.1,0.14874747395515442,0.712227076292038,0.14874747395515442,0.712227076292038,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995628.945471,monitoring,0.6.1,0.14728468656539917,0.7099168598651886,0.14728468656539917,0.7099168598651886,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.157491,monitoring,0.6.1,0.13684535026550293,0.7102745622396469,0.13684535026550293,0.7102745622396469,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.251587,monitoring,0.6.1,0.13357247412204742,0.7070340365171432,0.13357247412204742,0.7070340365171432,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.366735,monitoring,0.6.1,0.13559116423130035,0.704118549823761,0.13559116423130035,0.704118549823761,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.484620,monitoring,0.6.1,0.13383887708187103,0.7028202563524246,0.13383887708187103,0.7028202563524246,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.561303,monitoring,0.6.1,0.13503099977970123,0.7050682306289673,0.13503099977970123,0.7050682306289673,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.680153,monitoring,0.6.1,0.1337052434682846,0.7062057703733444,0.1337052434682846,0.7062057703733444,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995629.773607,monitoring,0.6.1,0.13895678520202637,0.709497332572937,0.13895678520202637,0.709497332572937,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.055710,monitoring,0.6.1,0.14269840717315674,0.7066113948822021,0.14269840717315674,0.7066113948822021,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.152520,monitoring,0.6.1,0.14643971621990204,0.7107969373464584,0.14643971621990204,0.7107969373464584,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.256854,monitoring,0.6.1,0.15068933367729187,0.7125881761312485,0.15068933367729187,0.7125881761312485,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.362375,monitoring,0.6.1,0.15332236886024475,0.7108671367168427,0.15332236886024475,0.7108671367168427,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.459750,monitoring,0.6.1,0.1544274538755417,0.7127438634634018,0.1544274538755417,0.7127438634634018,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.652411,monitoring,0.6.1,0.15462571382522583,0.7123952805995941,0.15462571382522583,0.7123952805995941,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.843348,monitoring,0.6.1,0.15825699269771576,0.7150207310914993,0.15825699269771576,0.7150207310914993,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995630.944693,monitoring,0.6.1,0.15568803250789642,0.7123291343450546,0.15568803250789642,0.7123291343450546,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995631.066045,monitoring,0.6.1,0.15194876492023468,0.7122136056423187,0.15194876492023468,0.7122136056423187,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995631.157482,monitoring,0.6.1,0.1498098522424698,0.7099359035491943,0.1498098522424698,0.7099359035491943,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995631.249452,monitoring,0.6.1,0.1451411247253418,0.7125483006238937,0.1451411247253418,0.7125483006238937,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995631.891021,monitoring,0.6.1,0.14378474652767181,0.7088027149438858,0.14378474652767181,0.7088027149438858,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995631.964891,monitoring,0.6.1,0.13557270169258118,0.7073887288570404,0.13557270169258118,0.7073887288570404,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995632.080944,monitoring,0.6.1,0.13951356709003448,0.7073049247264862,0.13951356709003448,0.7073049247264862,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995632.173903,monitoring,0.6.1,0.1425778567790985,0.7127768844366074,0.1425778567790985,0.7127768844366074,1,C-02;C-05,0,0,0.0,0.0,0.0,0.00408134438661148,0.6584173616708885,0.00018063107302402297,0.0
1786995632.263729,monitoring,0.6.1,0.143723726272583,0.7160665690898895,0.143723726272583,0.7160665690898895,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.013008853345768304,0.6966844674044637,0.0008407692682652563,0.0
1786995632.347531,monitoring,0.6.1,0.14460815489292145,0.7142332494258881,0.14460815489292145,0.7142332494258881,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04403605444789883,0.7882556683302158,0.0008532839653701277,0.0
1786995632.480038,monitoring,0.6.1,0.14449442923069,0.7162762731313705,0.14449442923069,0.7162762731313705,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04403605444789883,0.7882556683302158,0.0008532839653701277,0.0
1786995632.571203,monitoring,0.6.1,0.14347858726978302,0.7174411118030548,0.14347858726978302,0.7174411118030548,1,C-02;C-05,0,0,0.0,0.0,0.0,-0.04403605444789883,0.7882556683302158,0.0008532839653701277,0.0
1786995632.746478,monitoring,0.6.1,0.1426084339618683,0.7154241800308228,0.1426084339618683,0.7154241800308228,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00015368685651997725,0.0
1786995632.963117,monitoring,0.6.1,0.1465722918510437,0.7178961932659149,0.1465722918510437,0.7178961932659149,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00022061199121244747,0.0
1786995633.064854,monitoring,0.6.1,0.14229057729244232,0.716419517993927,0.14229057729244232,0.716419517993927,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00022061199121244747,0.0
1786995633.180269,monitoring,0.6.1,0.15334706008434296,0.7179472595453262,0.15334706008434296,0.7179472595453262,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00022061199121244747,0.0
1786995633.275558,monitoring,0.6.1,0.14902089536190033,0.7129193693399429,0.14902089536190033,0.7129193693399429,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00022061199121244747,0.0
1786995633.473907,monitoring,0.6.1,0.14369288086891174,0.7112803906202316,0.14369288086891174,0.7112803906202316,1,C-02;C-05,0,0,0.0,0.0,0.0,0.0015467048977846065,0.6751497230580241,0.00022061199121244747,0.0
