step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
111,5.5500,1.1064,-0.0033,0.0345,9.1232,-0.0033,0.0345,-0.0285,-0.0285,
112,5.6000,1.1164,-0.0030,0.0340,9.1232,-0.0030,0.0340,-0.0310,-0.0310,
113,5.6500,1.1264,-0.0027,0.0334,9.1232,-0.0027,0.0334,-0.0334,-0.0334,
114,5.7000,1.1364,-0.0023,0.0327,9.1232,-0.0023,0.0327,-0.0357,-0.0357,
115,5.7500,1.1464,-0.0020,0.0320,9.1232,-0.0020,0.0320,-0.0378,-0.0378,
116,5.8000,1.1564,-0.0017,0.0313,9.1232,-0.0017,0.0313,-0.0397,-0.0397,
117,5.8500,1.1664,-0.0014,0.0305,9.1232,-0.0014,0.0305,-0.0415,-0.0415,
118,5.9000,1.1764,-0.0011,0.0297,9.1232,-0.0011,0.0297,-0.0432,-0.0432,
119,5.9500,1.1864,-0.0008,0.0289,9.1232,-0.0008,0.0289,-0.0447,-0.0447,
120,6.0000,1.1964,-0.0005,0.0280,9.1232,-0.0005,0.0280,-0.0460,-0.0460,
121,6.0500,1.2064,-0.0002,0.0271,9.2232,-0.0002,0.0271,-0.0472,-0.0472,
122,6.1000,1.2164,0.0000,0.0262,9.2232,0.0000,0.0262,-0.0483,-0.0483,
123,6.1500,1.2264,0.0003,0.0253,9.2232,0.0003,0.0253,-0.0493,-0.0493,
124,6.2000,1.2364,0.0005,0.0243,9.2232,0.0005,0.0243,-0.0501,-0.0501,
125,6.2500,1.2464,0.0008,0.0233,9.2232,0.0008,0.0233,-0.0508,-0.0508,
126,6.3000,1.2564,0.0010,0.0223,9.2232,0.0010,0.0223,-0.0513,-0.0513,
127,6.3500,1.2664,0.0012,0.0213,9.2232,0.0012,0.0213,-0.0518,-0.0518,
128,6.4000,1.2764,0.0014,0.0203,9.2232,0.0014,0.0203,-0.0521,-0.0521,
129,6.4500,1.2864,0.0016,0.0193,9.2232,0.0016,0.0193,-0.0523,-0.0523,
130,6.5000,1.2964,0.0018,0.0183,9.2232,0.0018,0.0183,-0.0524,-0.0524,
131,6.5500,1.3064,0.0020,0.0173,9.3232,0.0020,0.0173,-0.0524,-0.0524,
132,6.6000,1.3164,0.0022,0.0163,9.3232,0.0022,0.0163,-0.0523,-0.0523,
133,6.6500,1.3264,0.0023,0.0152,9.3232,0.0023,0.0152,-0.0520,-0.0520,
134,6.7000,1.3364,0.0025,0.0142,9.3232,0.0025,0.0142,-0.0517,-0.0517,
135,6.7500,1.3464,0.0026,0.0132,9.3232,0.0026,0.0132,-0.0513,-0.0513,
136,6.8000,1.3564,0.0027,0.0122,9.3232,0.0027,0.0122,-0.0508,-0.0508,
137,6.8500,1.3664,0.0028,0.0112,9.3232,0.0028,0.0112,-0.0502,-0.0502,
138,6.9000,1.3764,0.0030,0.0103,9.3232,0.0030,0.0103,-0.0495,-0.0495,
139,6.9500,1.3864,0.0031,0.0093,9.3232,0.0031,0.0093,-0.0488,-0.0488,
140,7.0000,1.3964,0.0031,0.0084,9.3232,0.0031,0.0084,-0.0480,-0.0480,
141,7.0500,1.4064,0.0032,0.0074,9.4232,0.0032,0.0074,-0.0471,-0.0471,
142,7.1000,1.4164,0.0033,0.0065,9.4232,0.0033,0.0065,-0.0461,-0.0461,
143,7.1500,1.4264,0.0034,0.0056,9.4232,0.0034,0.0056,-0.0451,-0.0451,
144,7.2000,1.4364,0.0034,0.0047,9.4232,0.0034,0.0047,-0.0440,-0.0440,
145,7.2500,1.4464,0.0034,0.0039,9.4232,0.0034,0.0039,-0.0429,-0.0429,
146,7.3000,1.4564,0.0035,0.0030,9.4232,0.0035,0.0030,-0.0417,-0.0417,
147,7.3500,1.4664,0.0035,0.0022,9.4232,0.0035,0.0022,-0.0405,-0.0405,
148,7.4000,1.4764,0.0035,0.0014,9.4232,0.0035,0.0014,-0.0393,-0.0393,
149,7.4500,1.4864,0.0035,0.0007,9.4232,0.0035,0.0007,-0.0380,-0.0380,
150,7.5000,1.4964,0.0035,-0.0001,9.4232,0.0035,-0.0001,-0.0367,-0.0367,
151,7.5500,1.5064,0.0035,-0.0008,9.5232,0.0031,-0.0635,0.5898,0.1133,C-06
152,7.6000,1.5164,0.0035,0.0014,9.5232,0.0025,-0.0613,0.0816,0.0816,
153,7.6500,1.5264,0.0036,0.0030,9.5232,0.0019,-0.0597,0.0903,0.0903,
154,7.7000,1.5364,0.0036,0.0048,9.5232,0.0013,-0.0580,0.0924,0.0924,
155,7.7500,1.5464,0.0037,0.0066,9.5232,0.0007,-0.0562,0.0951,0.0951,
156,7.8000,1.5564,0.0037,0.0084,9.5232,0.0002,-0.0543,0.0975,0.0975,
157,7.8500,1.5664,0.0038,0.0103,9.5232,-0.0003,-0.0524,0.0995,0.0995,
158,7.9000,1.5764,0.0039,0.0123,9.5232,-0.0009,-0.0505,0.1013,0.1013,
159,7.9500,1.5864,0.0041,0.0142,9.5232,-0.0014,-0.0485,0.1029,0.1029,
160,8.0000,1.5964,0.0042,0.0162,9.5232,-0.0018,-0.0465,0.1041,0.1041,
161,8.0500,1.6064,0.0044,0.0183,9.6237,-0.0030,-0.1700,1.0000,0.2541,C-06
162,8.1000,1.6163,0.0046,0.0232,9.6237,-0.0047,-0.1650,0.3639,0.3639,
163,8.1500,1.6263,0.0049,0.0303,9.6237,-0.0063,-0.1579,0.3517,0.3517,
164,8.2000,1.6363,0.0052,0.0372,9.6237,-0.0078,-0.1510,0.3577,0.3577,
165,8.2500,1.6463,0.0056,0.0442,9.6237,-0.0093,-0.1440,0.3598,0.3598,
166,8.3000,1.6563,0.0061,0.0512,9.6237,-0.0107,-0.1370,0.3615,0.3615,
167,8.3500,1.6663,0.0066,0.0583,9.6237,-0.0120,-0.1299,0.3624,0.3624,
168,8.4000,1.6763,0.0073,0.0654,9.6237,-0.0133,-0.1228,0.3626,0.3626,
169,8.4500,1.6863,0.0079,0.0725,9.6237,-0.0145,-0.1158,0.3620,0.3620,
170,8.5000,1.6962,0.0087,0.0795,9.6237,-0.0156,-0.1087,0.3607,0.3607,
171,8.5500,1.7062,0.0095,0.0866,9.7242,-0.0170,-0.2282,1.0000,0.5107,C-06
172,8.6000,1.7162,0.0104,0.0966,9.7242,-0.0192,-0.2182,0.6107,0.6107,
