stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182702.870,bad_width,0.02610,0.01406,0.16758,4,0.354,ok
1788182703.021,bad_width,0.01947,0.01123,0.17730,3,0.417,ok
1788182703.470,bad_width,-0.04284,0.02380,0.31478,3,0.479,ok
1788182703.520,bad_width,-0.04430,0.03474,0.31035,3,0.458,ok
1788182703.570,bad_width,-0.03823,0.01899,0.31267,3,0.458,ok
1788182703.720,unpaired,-0.01745,-0.02076,0.27479,3,0.271,single_line
1788182703.770,unpaired,-0.01915,-0.00957,0.27479,3,0.292,single_line
1788182703.820,bad_width,-0.03189,-0.00980,0.30204,3,0.542,ok
1788182703.870,bad_width,-0.02910,-0.01120,0.29753,3,0.500,ok
1788182704.020,bad_width,-0.02336,-0.03993,0.29765,2,0.500,ok
1788182704.070,bad_width,-0.03965,-0.05483,0.33057,3,0.458,ok
1788182704.270,bad_width,-0.04951,0.05827,0.33880,3,0.500,ok
1788182704.570,unpaired,-0.02418,0.00594,0.27954,3,0.250,single_line
1788182704.620,unpaired,-0.02160,-0.00793,0.27954,3,0.250,single_line
1788182704.970,bad_width,-0.07974,-0.35228,0.29100,3,0.250,ok
1788182705.070,unpaired,-0.02042,0.03184,0.26466,3,0.208,single_line
1788182705.120,unpaired,-0.01545,0.00578,0.26466,3,0.208,single_line
1788182705.170,unpaired,-0.00915,-0.02959,0.26466,3,0.250,single_line
1788182705.220,unpaired,-0.01150,-0.01532,0.26466,2,0.229,single_line
1788182705.370,bad_width,0.01916,-0.01091,0.20649,3,0.292,ok
1788182705.420,bad_width,-0.04309,-0.02942,0.33287,2,0.479,ok
1788182705.470,unpaired,-0.00703,-0.03286,0.26211,2,0.229,single_line
1788182705.570,unpaired,0.00085,-0.06574,0.25910,3,0.208,single_line
1788182705.620,unpaired,-0.00975,-0.00913,0.25910,3,0.229,single_line
1788182705.670,bad_width,0.05230,-0.02564,0.14524,3,0.312,ok
1788182705.770,unpaired,0.00808,-0.03787,0.23633,2,0.167,single_line
1788182706.220,bad_width,-0.02672,-0.02764,0.29920,3,0.396,ok
1788182706.270,bad_width,-0.01973,-0.03834,0.29056,3,0.396,ok
1788182706.320,unpaired,-0.01241,-0.02346,0.26618,3,0.229,single_line
1788182706.370,bad_width,0.02426,-0.05302,0.20051,2,0.396,ok
1788182706.470,bad_width,0.04253,-0.05598,0.16275,2,0.521,ok
1788182706.620,unpaired,0.00388,-0.04717,0.24210,3,0.208,single_line
1788182706.620,unpaired,0.00388,-0.04717,0.24210,3,0.208,single_line
1788182706.770,unpaired,0.00061,-0.03382,0.24210,4,0.229,single_line
1788182706.820,unpaired,0.00320,-0.04875,0.24210,4,0.208,single_line
1788182706.920,unpaired,0.00692,-0.07245,0.24084,2,0.271,single_line
1788182706.970,unpaired,-0.00508,-0.00493,0.24084,2,0.229,single_line
1788182707.170,unpaired,-0.00389,-0.03511,0.25002,2,0.250,single_line
1788182707.270,bad_width,-0.01927,-0.05320,0.29248,2,0.417,ok
1788182707.370,unpaired,-0.00418,-0.07430,0.26239,2,0.250,single_line
1788182707.420,bad_width,0.03675,-0.05086,0.17419,3,0.312,ok
1788182707.520,bad_width,0.03110,-0.04927,0.17739,3,0.312,ok
1788182707.570,unpaired,0.00416,-0.03941,0.23569,3,0.229,single_line
1788182707.720,bad_width,0.03753,-0.04728,0.17889,3,0.354,ok
1788182707.770,unpaired,0.00829,-0.04828,0.22953,2,0.229,single_line
1788182707.970,unpaired,0.01228,-0.06854,0.22375,2,0.229,single_line
1788182708.020,unpaired,0.01200,-0.06572,0.22375,2,0.229,single_line
1788182708.070,unpaired,0.01191,-0.06633,0.22375,2,0.229,single_line
1788182708.120,unpaired,0.01158,-0.06498,0.22375,2,0.229,single_line
1788182708.170,unpaired,0.01221,-0.06850,0.22375,2,0.208,single_line
1788182708.220,bad_width,-0.03392,-0.06564,0.31303,2,0.458,ok
1788182708.620,unpaired,-0.00943,-0.00398,0.25766,3,0.125,single_line
1788182708.670,unpaired,-0.00681,-0.06085,0.25766,2,0.229,single_line
1788182708.720,bad_width,0.01796,-0.06283,0.20661,2,0.417,ok
1788182709.070,bad_width,-0.04483,-0.02604,0.33455,2,0.500,ok
1788182709.120,bad_width,0.04438,-0.01963,0.15947,3,0.479,ok
1788182709.370,unpaired,-0.00542,-0.05319,0.25466,2,0.250,single_line
1788182709.420,unpaired,-0.00892,-0.03576,0.25466,2,0.250,single_line
1788182709.620,bad_width,0.06135,-0.12259,0.14728,3,0.312,ok
1788182709.670,unpaired,0.00810,-0.05912,0.23125,3,0.208,single_line
1788182709.720,bad_width,-0.03528,-0.11799,0.31546,3,0.292,ok
1788182709.770,bad_width,-0.02803,-0.12221,0.32541,3,0.271,ok
1788182709.820,unpaired,-0.00193,-0.09137,0.26355,3,0.229,single_line
1788182709.870,bad_width,0.04548,-0.11038,0.17181,2,0.479,ok
1788182710.070,bad_width,0.03195,-0.05941,0.18491,3,0.479,ok
1788182710.120,unpaired,0.00609,-0.05487,0.23318,3,0.229,single_line
1788182710.220,unpaired,0.00828,-0.06531,0.23318,2,0.271,single_line
1788182710.270,bad_width,-0.17384,0.39776,0.31553,3,0.312,ok
1788182710.320,unpaired,-0.00181,-0.05304,0.24965,3,0.271,single_line
1788182710.520,unpaired,0.00006,-0.05179,0.24719,2,0.208,single_line
1788182710.570,unpaired,-0.00318,-0.03173,0.24719,3,0.229,single_line
1788182710.670,unpaired,0.00066,-0.03671,0.24353,2,0.208,single_line
1788182710.770,bad_width,0.03149,-0.03258,0.19243,3,0.500,ok
1788182710.870,bad_width,0.05240,-0.03240,0.14804,3,0.500,ok
1788182710.970,unpaired,0.01304,-0.04294,0.22429,2,0.229,single_line
1788182711.020,bad_width,-0.37860,0.46408,0.13634,3,0.312,ok
1788182711.170,unpaired,0.01939,-0.03738,0.21062,3,0.250,single_line
1788182711.221,unpaired,0.01819,-0.02740,0.21062,3,0.250,single_line
1788182711.622,bad_width,0.02998,-0.02400,0.19484,4,0.521,ok
1788182711.820,bad_width,0.04956,-0.02043,0.15096,4,0.479,ok
1788182711.870,bad_width,-0.36580,0.38470,0.19737,3,0.375,ok
1788182712.020,bad_width,-0.32995,0.36700,0.15984,3,0.271,ok
1788182712.420,bad_width,-0.02888,-0.01721,0.31576,3,0.312,ok
1788182712.520,bad_width,-0.04330,0.28318,0.32491,3,0.521,ok
1788182712.571,bad_width,-0.03069,0.09870,0.31060,3,0.312,ok
1788182712.670,bad_width,-0.03433,-0.00531,0.32757,3,0.562,ok
1788182712.720,unpaired,-0.01205,0.02286,0.28412,2,0.208,single_line
1788182712.771,bad_width,-0.04475,0.08420,0.34300,2,0.542,ok
1788182712.871,unpaired,-0.01584,0.02943,0.29251,2,0.229,single_line
1788182712.920,bad_width,-0.39688,0.43132,0.31039,3,0.396,ok
1788182712.971,unpaired,-0.01790,0.03500,0.29609,2,0.229,single_line
1788182713.021,bad_width,-0.01344,-0.30184,0.18282,3,0.375,ok
1788182713.070,unpaired,-0.00562,0.03504,0.27343,2,0.229,single_line
1788182713.170,unpaired,-0.00737,0.04664,0.27343,3,0.250,single_line
1788182713.220,unpaired,-0.00269,0.02933,0.27343,2,0.229,single_line
1788182713.420,bad_width,-0.03861,0.27530,0.32745,2,0.521,ok
1788182713.470,bad_width,0.03248,-0.07174,0.19774,3,0.354,ok
1788182713.670,unpaired,0.01416,0.03845,0.24074,2,0.250,single_line
1788182713.720,bad_width,-0.02444,0.23891,0.30784,2,0.542,ok
1788182713.770,unpaired,0.00761,0.04119,0.25416,2,0.229,single_line
1788182713.820,bad_width,-0.01850,0.18972,0.30587,2,0.479,ok
1788182713.970,bad_width,-0.01723,0.08388,0.30600,4,0.312,ok
1788182714.020,bad_width,-0.01636,0.08380,0.30206,3,0.312,ok
1788182714.070,bad_width,-0.01607,0.07995,0.30841,3,0.292,ok
1788182714.120,bad_width,-0.01383,-0.11093,0.29560,3,0.542,ok
1788182714.171,bad_width,-0.01715,0.22156,0.30898,2,0.458,ok
1788182714.320,bad_width,-0.01402,0.14267,0.30053,3,0.500,ok
